date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-08-03,570.0,599.0,550.0,578.0,916553345,1585840,342,560.0,567.0
2015-08-04,582.0,582.0,537.0,547.0,437812008,800759,169,578.0,541.0
2015-08-05,550.0,564.0,540.0,549.0,201643484,367207,97,547.0,554.0
2015-08-08,531.0,548.0,510.0,531.0,79573912,149784,37,549.0,524.0
2015-08-09,530.0,550.0,519.0,533.0,482173825,905258,247,531.0,519.0
2015-08-10,512.0,518.0,500.0,508.0,305499628,601240,182,533.0,501.0
2015-08-12,491.0,500.0,474.0,485.0,244567858,504043,98,508.0,485.0
2015-08-15,470.0,516.0,470.0,487.0,170083105,348941,82,485.0,489.0
2015-08-16,470.0,490.0,450.0,469.0,690061442,1471402,245,487.0,464.0
2015-08-17,460.0,460.0,426.0,435.0,477739260,1098881,267,469.0,430.0
2015-08-18,440.0,440.0,400.0,407.0,521706437,1280747,346,435.0,427.0
2015-08-19,419.0,428.0,407.0,418.0,278267743,665181,101,407.0,420.0
2015-08-22,439.0,459.0,425.0,440.0,600545717,1363419,316,418.0,434.0
2015-08-23,420.0,420.0,399.0,403.0,321634475,798509,176,440.0,400.0
2015-08-24,418.0,418.0,363.0,366.0,1636819033,4468865,754,403.0,363.0
2015-08-25,363.0,363.0,330.0,334.0,888474054,2657902,476,366.0,330.0
2015-08-26,302.0,340.0,301.0,307.0,576246429,1874836,339,334.0,303.0
2015-08-29,300.0,324.0,278.0,290.0,446483712,1540569,297,307.0,280.0
2015-08-30,290.0,293.0,262.0,266.0,692947681,2603119,464,290.0,269.0
2015-08-31,275.0,292.0,250.0,286.0,5676498838,19817343,569,266.0,292.0
2015-09-01,299.0,302.0,280.0,290.0,339290971,1171964,395,286.0,290.0
2015-09-02,290.0,290.0,261.0,267.0,2117838326,7945253,1496,290.0,262.0
2015-10-20,260.0,260.0,260.0,260.0,14300000,55000,8,267.0,260.0
2015-10-21,270.0,270.0,234.0,235.0,602545000,2561500,131,260.0,234.0
2015-10-25,215.0,220.0,212.0,214.0,108314000,506500,44,235.0,212.0
2015-10-26,214.0,214.0,193.0,200.0,1657480600,8301200,390,214.0,193.0
2015-10-27,200.0,205.0,200.0,200.0,645879750,3227950,189,200.0,200.0
2015-10-28,200.0,200.0,200.0,200.0,320000000,1600000,39,200.0,200.0
2015-10-31,200.0,200.0,200.0,200.0,767277200,3836386,245,200.0,200.0
2015-11-01,200.0,202.0,200.0,200.0,3388660200,16938951,997,200.0,200.0
2020-08-15,6340.0,6790.0,5830.0,6097.0,23777306318,3899728,1570,200.0,6160.0
2020-08-16,6100.0,6200.0,5640.0,5810.0,14955648290,2575317,1417,6097.0,5760.0
2020-08-17,6000.0,6190.0,5700.0,5920.0,20792969910,3509473,1451,5810.0,5990.0
2020-08-18,6200.0,6510.0,5820.0,6150.0,26689782100,4338469,1713,5920.0,5990.0
2020-08-19,5720.0,5840.0,5540.0,5590.0,11687923840,2089179,777,6150.0,5540.0
2020-08-22,5900.0,6040.0,5240.0,5530.0,9917802700,1792243,710,5590.0,5460.0
2020-08-23,5580.0,5580.0,4980.0,5030.0,11822238800,2350003,772,5530.0,5090.0
2020-08-24,4700.0,5200.0,4680.0,4830.0,7686913120,1592606,594,5030.0,4840.0
2020-08-25,5240.0,5310.0,4840.0,5270.0,18284764120,3472087,1022,4830.0,5310.0
2020-08-26,5640.0,5800.0,5340.0,5730.0,9686422830,1690435,754,5270.0,5800.0
2020-08-31,6080.0,6080.0,5170.0,5460.0,21912039760,4016700,1258,5730.0,5600.0
2020-09-01,5280.0,5300.0,4950.0,5090.0,9569798290,1878729,770,5460.0,5190.0
2020-09-02,4750.0,4900.0,4580.0,4670.0,8104899910,1735851,557,5090.0,4740.0
2020-09-05,4750.0,5100.0,4680.0,4860.0,7844131360,1615390,695,4670.0,4950.0
2020-09-06,5300.0,5300.0,4570.0,4930.0,8942333580,1813414,636,4860.0,5000.0
2020-09-07,4520.0,5000.0,4520.0,4820.0,16251729990,3369816,1002,4930.0,4950.0
2020-09-08,4690.0,4820.0,4480.0,4580.0,9507627450,2074153,609,4820.0,4500.0
2020-09-09,4580.0,5040.0,4580.0,4880.0,11422276700,2341714,949,4580.0,5040.0
2020-09-12,5120.0,5370.0,5120.0,5300.0,26137824120,4930840,931,4880.0,5290.0
2020-09-13,5250.0,5360.0,4800.0,5030.0,8088297240,1606570,477,5300.0,5030.0
2020-09-14,5020.0,5350.0,4600.0,5120.0,11983579920,2340429,576,5030.0,5230.0
2020-09-15,5000.0,5520.0,4940.0,5350.0,25297320380,4731706,755,5120.0,5280.0
2020-09-16,5300.0,5640.0,4900.0,5170.0,23699162940,4585755,855,5350.0,4950.0
2020-09-19,4800.0,5090.0,4650.0,4800.0,11643431870,2425889,668,5170.0,4650.0
2020-09-20,4600.0,4700.0,4320.0,4400.0,13810456000,3140140,610,4800.0,4320.0
2020-09-21,4170.0,4490.0,4000.0,4160.0,5122580240,1232491,304,4400.0,4190.0
2020-09-22,4220.0,4390.0,3850.0,4060.0,10457124850,2576664,437,4160.0,4150.0
2020-09-23,4200.0,4330.0,4040.0,4170.0,15277685980,3660679,537,4060.0,4190.0
2020-09-26,4170.0,4450.0,4110.0,4300.0,16592051950,3859699,510,4170.0,4270.0
2020-09-27,4100.0,4270.0,3870.0,3900.0,5789773280,1483934,265,4300.0,3870.0
2020-09-28,3510.0,3520.0,3510.0,3510.0,1200712590,342033,78,3900.0,3510.0
2020-09-29,3240.0,3510.0,3160.0,3270.0,13051982120,3987601,504,3510.0,3430.0
2020-09-30,3430.0,3600.0,3170.0,3410.0,25920056230,7609625,637,3270.0,3600.0
2020-10-03,3750.0,3750.0,3700.0,3750.0,10884802740,2903191,246,3410.0,3750.0
2020-10-04,4130.0,4130.0,3750.0,4090.0,51258057880,12518730,1032,3750.0,4130.0
2020-10-05,4180.0,4180.0,3680.0,3860.0,34724851020,8988788,796,4090.0,3940.0
2020-10-06,3900.0,4250.0,3850.0,4110.0,44180014410,10757661,1066,3860.0,4250.0
2020-10-07,4450.0,4450.0,3900.0,4180.0,58096468030,13911212,1226,4110.0,4140.0
2020-10-10,3900.0,4110.0,3760.0,3960.0,44026164710,11118946,1300,4180.0,3960.0
2020-10-11,4040.0,4230.0,3770.0,4020.0,90076136470,22379188,2328,3960.0,3800.0
2020-12-05,4100.0,4500.0,4100.0,4100.0,8247700000,2011200,41,4020.0,4500.0
2020-12-06,4510.0,4510.0,4500.0,4500.0,18018747420,4000000,281,4100.0,4510.0
2020-12-07,4950.0,4950.0,4950.0,4950.0,15684540300,3168594,272,4500.0,4950.0
2020-12-08,5450.0,5450.0,5450.0,5450.0,16350000000,3000000,298,4950.0,5450.0
2020-12-09,6000.0,6000.0,6000.0,6000.0,10844946000,1807491,278,5450.0,6000.0
2020-12-12,6600.0,6600.0,6400.0,6580.0,7172213050,1090002,245,6000.0,6400.0
2020-12-13,6000.0,6000.0,6000.0,6000.0,1628076000,271346,32,6580.0,6000.0
2020-12-14,6000.0,6000.0,5400.0,5470.0,430645200,78765,24,6000.0,5400.0
2020-12-15,4920.0,4920.0,4920.0,4920.0,67969800,13815,7,5470.0,4920.0
2020-12-16,4430.0,4430.0,4430.0,4430.0,568980340,128438,33,4920.0,4430.0
2020-12-19,4500.0,4870.0,4100.0,4180.0,75445237650,18052000,450,4430.0,4430.0
2020-12-20,4600.0,4600.0,4100.0,4180.0,59056474790,14121274,318,4180.0,4450.0
2020-12-21,4500.0,4600.0,4400.0,4430.0,33922839600,7651810,258,4180.0,4400.0
2020-12-22,4870.0,4870.0,4430.0,4510.0,39300403560,8717740,333,4430.0,4460.0
